Development Name,Borough,Account Name,Location,Meter AMR,Meter Scope,TDS #,EDP,RC Code,Funding Source,AMP #,Vendor Name,UMIS BILL ID,Revenue Month,Service Start Date,Service End Date,# days,Meter Number,Estimated,Current Charges,Rate Class,Bill Analyzed,Consumption (HCF),Water&Sewer Charges,Other Charges,BBL
UPACA (SITE 6),MANHATTAN,UPACA (SITE 6),BLD 01,AMR,,355,760,M035500,FEDERAL,NY005012410P,NEW YORK CITY WATER BOARD,6902713,6/1/2018 0:00,5/24/2018,6/22/2018,29,E09010097,N         ,4332.01,Basic Water and Sewer,Yes,439,"$4,332.01 ",$0.00 ,1017680012
UPACA (SITE 6),MANHATTAN,UPACA (SITE 6),BLD 01,AMR,,355,760,M035500,FEDERAL,NY005012410P,NEW YORK CITY WATER BOARD,6902713,6/1/2018 0:00,5/24/2018,6/22/2018,29,E09010099,N         ,7983.13,Basic Water and Sewer,Yes,809,"$7,983.13 ",$0.00 ,1017680012
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 13,AMR,BLD 13,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6900980,6/1/2018 0:00,5/22/2018,6/20/2018,29,E20372610,N         ,148.02,Basic Water and Sewer,Yes,15,$148.02 ,$0.00 ,3013300007
MARLBORO,BROOKLYN,MARLBORO,BLD 29,AMR,BOILER PLANT,83,426,K008300,MIXED FINANCE/LLC1,NY005020830P,NEW YORK CITY WATER BOARD,6900922,6/1/2018 0:00,5/22/2018,6/20/2018,29,E14262604,N         ,6019.42,Basic Water and Sewer,Yes,610,"$6,019.42 ",$0.00 ,3071400016
BUSHWICK II CDA (GROUP E),BROOKLYN,BUSHWICK II CDA (GROUP E),BLD 02,NONE,BLD 02,324,758,K032400,FEDERAL,NY005012470P,NEW YORK CITY WATER BOARD,6902253,6/1/2018 0:00,5/24/2018,6/22/2018,29,H07052143,N         ,503.26,Basic Water and Sewer,Yes,51,$503.26 ,$0.00 ,3033250001
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 11,AMR,BLD 11,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6900987,6/1/2018 0:00,5/22/2018,6/20/2018,29,E20290494,N         ,305.9,Basic Water and Sewer,Yes,31,$305.90 ,$0.00 ,3048180026
BERRY STREET-SOUTH 9TH STREET,BROOKLYN,BERRY STREET-SOUTH 9TH STREET,BLD 03,AMR,BLD 03,357,777,K035700,FEDERAL,NY005011310P,NEW YORK CITY WATER BOARD,6901885,6/1/2018 0:00,5/22/2018,6/20/2018,29,O78363667,N         ,4253.06,Basic Water and Sewer,Yes,431,"$4,253.06 ",$0.00 ,3021560007
MELROSE,BRONX,MELROSE,BLD 09 - Community Center,AMR,Community Center,28,523,B202800,FEDERAL,NY005010280P,NEW YORK CITY WATER BOARD,6901302,6/1/2018 0:00,5/22/2018,6/20/2018,29,N31934550,N         ,197.36,Basic Water and Sewer,Yes,20,$197.36 ,$0.00 ,2024130001
VAN DYKE I,BROOKLYN,VAN DYKE I,BLD 24 - Community Center,AMR,Community Center,61,216,K206100,FEDERAL,NY005000610P,NEW YORK CITY WATER BOARD,6902020,6/1/2018 0:00,5/24/2018,6/22/2018,29,V84003679,N         ,98.68,Basic Water and Sewer,Yes,10,$98.68 ,$0.00 ,3037770025
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 03,AMR,BLD 03,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6900989,6/1/2018 0:00,5/22/2018,6/20/2018,29,E20453242,N         ,157.89,Basic Water and Sewer,Yes,16,$157.89 ,$0.00 ,3048180134
NOSTRAND,BROOKLYN,NOSTRAND,BLD 17,NONE,,43,585,K004300,FEDERAL,NY005010360P,NEW YORK CITY WATER BOARD,6995051,6/1/2018 0:00,3/12/2018,6/30/2018,110,O78610277,N         ,0,Basic Water and Sewer,Yes,1859,$0.00 ,$0.00 ,3073890001
BUSHWICK II CDA (GROUP E),BROOKLYN,BUSHWICK II CDA (GROUP E),BLD 01,AMR,BLD 01,324,758,K032400,FEDERAL,NY005012470P,NEW YORK CITY WATER BOARD,6901787,6/1/2018 0:00,5/22/2018,6/20/2018,29,E13304205,N         ,3493.24,Basic Water and Sewer,Yes,354,"$3,493.24 ",$0.00 ,3033160001
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 06,AMR,BLD 06,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6901204,6/1/2018 0:00,5/22/2018,6/20/2018,29,E20291369,N         ,256.57,Basic Water and Sewer,Yes,26,$256.57 ,$0.00 ,3048180031
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 48,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6901946,6/1/2018 0:00,5/22/2018,6/20/2018,29,V31952918,N         ,207.23,Basic Water and Sewer,Yes,21,$207.23 ,$0.00 ,1020120025
WILLIAMSBURG,BROOKLYN,WILLIAMSBURG,BLD 13,AMR,STORE 20-21,2,200,K000200,FEDERAL,NY005000020P,NEW YORK CITY WATER BOARD,6901954,6/1/2018 0:00,5/22/2018,6/20/2018,29,V52268797,N         ,36.8,Basic Water and Sewer,Yes,0,$36.80 ,$0.00 ,3030260001
OCEAN BAY APARTMENTS (OCEANSIDE),QUEENS,OCEAN BAY APARTMENTS (OCEANSIDE),,NONE,,51,573,Q005100,FEDERAL,NY005010980P,NEW YORK CITY WATER BOARD,6902135,6/1/2018 0:00,5/24/2018,6/22/2018,29,N51387763,Y         ,36.8,Basic Water and Sewer,Yes,1,$36.80 ,$0.00 ,4158900066
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 37,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,7051251,6/1/2018 0:00,12/20/2017,6/30/2018,192,I13007923,N         ,7410.79,Basic Water and Sewer,Yes,751,"$7,410.79 ",$0.00 ,1020090063
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 14,AMR,STORE 01,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6901801,6/1/2018 0:00,5/22/2018,6/20/2018,29,G13039199,N         ,1499.92,Basic Water and Sewer,Yes,152,"$1,499.92 ",$0.00 ,1020120061
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 08,AMR,BLD 08,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6901241,6/1/2018 0:00,5/22/2018,6/20/2018,29,E20290495,N         ,1411.11,Basic Water and Sewer,Yes,143,"$1,411.11 ",$0.00 ,3048180029
OCEAN BAY APARTMENTS (OCEANSIDE),QUEENS,OCEAN BAY APARTMENTS (OCEANSIDE),,NONE,,51,573,Q005100,FEDERAL,NY005010980P,NEW YORK CITY WATER BOARD,6901877,6/1/2018 0:00,5/24/2018,6/22/2018,29,R32599613,Y         ,36.8,Basic Water and Sewer,Yes,1,$36.80 ,$0.00 ,4158900064
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 22,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6901802,6/1/2018 0:00,5/22/2018,6/20/2018,29,V31665698,N         ,1924.24,Basic Water and Sewer,Yes,195,"$1,924.24 ",$0.00 ,1020120014
BOULEVARD,BROOKLYN,BOULEVARD,BLD 02,AMR,,46,637,K004600,MIXED FINANCE/LLC2,NY005020460P,NEW YORK CITY WATER BOARD,6921604,6/1/2018 0:00,5/22/2018,6/20/2018,29,K14164112,N         ,0,Basic Water and Sewer,Yes,143,$0.00 ,$0.00 ,3043760001
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 18,AMR,BLD 18,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6901286,6/1/2018 0:00,5/22/2018,6/20/2018,29,E20308398,N         ,148.02,Basic Water and Sewer,Yes,15,$148.02 ,$0.00 ,3013300012
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 34,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6901278,6/1/2018 0:00,5/22/2018,6/20/2018,29,O78224451,N         ,2496.58,Basic Water and Sewer,Yes,253,"$2,496.58 ",$0.00 ,1020110063
OCEAN BAY APARTMENTS (OCEANSIDE),QUEENS,OCEAN BAY APARTMENTS (OCEANSIDE),,NONE,,51,573,Q005100,FEDERAL,NY005010980P,NEW YORK CITY WATER BOARD,6902182,6/1/2018 0:00,5/24/2018,6/22/2018,29,N51387759,Y         ,36.8,Basic Water and Sewer,Yes,1,$36.80 ,$0.00 ,4158900054
OCEAN BAY APARTMENTS (OCEANSIDE),QUEENS,OCEAN BAY APARTMENTS (OCEANSIDE),,NONE,,51,573,Q005100,FEDERAL,NY005010980P,NEW YORK CITY WATER BOARD,6902018,6/1/2018 0:00,5/24/2018,6/22/2018,29,N31677722,Y         ,36.8,Basic Water and Sewer,Yes,1,$36.80 ,$0.00 ,4158900054
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 02,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6902457,6/1/2018 0:00,5/22/2018,6/22/2018,31,V31665671,N         ,3957.03,Basic Water and Sewer,Yes,401,"$3,957.03 ",$0.00 ,1020130024
WILLIAMSBURG,BROOKLYN,WILLIAMSBURG,BLD 13,AMR,STORE 23-26,2,200,K000200,FEDERAL,NY005000020P,NEW YORK CITY WATER BOARD,6901218,6/1/2018 0:00,5/22/2018,6/20/2018,29,K14211089,N         ,36.8,Basic Water and Sewer,Yes,0,$36.80 ,$0.00 ,3030260001
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 16,AMR,BLD 16,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6901235,6/1/2018 0:00,5/22/2018,6/20/2018,29,E20312472,N         ,809.17,Basic Water and Sewer,Yes,82,$809.17 ,$0.00 ,3013300010
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 18,AMR,BLD 18,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,6902212,6/1/2018 0:00,5/22/2018,6/20/2018,29,K16792342,N         ,2496.58,Basic Water and Sewer,Yes,253,"$2,496.58 ",$0.00 ,4101250063
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 16,AMR,STORE 01-02,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6902462,6/1/2018 0:00,5/22/2018,6/20/2018,29,A08000393,N         ,1006.53,Basic Water and Sewer,Yes,102,"$1,006.53 ",$0.00 ,1020120064
STAPLETON,STATEN ISLAND,STAPLETON,BLD 07 - Community Center,NONE,Community Center,114,436,S211400,FEDERAL,NY005021140P,NEW YORK CITY WATER BOARD,6902545,6/1/2018 0:00,5/22/2018,6/20/2018,29,E16799118,N         ,88.81,Basic Water and Sewer,Yes,9,$88.81 ,$0.00 ,5005450100
OCEAN HILL-BROWNSVILLE,BROOKLYN,OCEAN HILL-BROWNSVILLE,BLD 02,AMR,,313,287,K031300,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6900933,6/1/2018 0:00,5/22/2018,6/20/2018,29,V84010220,N         ,5407.61,Basic Water and Sewer,Yes,548,"$5,407.61 ",$0.00 ,3014310043
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 10,AMR,BLD 10,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6900814,6/1/2018 0:00,5/22/2018,6/20/2018,29,E20290492,N         ,296.04,Basic Water and Sewer,Yes,30,$296.04 ,$0.00 ,3048180027
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 07,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6902468,6/1/2018 0:00,5/22/2018,6/20/2018,29,V31625180,N         ,2614.99,Basic Water and Sewer,Yes,265,"$2,614.99 ",$0.00 ,1020120052
OCEAN HILL-BROWNSVILLE,BROOKLYN,OCEAN HILL-BROWNSVILLE,BLD 01,AMR,,313,287,K031300,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6901792,6/1/2018 0:00,5/22/2018,6/20/2018,29,E13304206,N         ,3572.18,Basic Water and Sewer,Yes,362,"$3,572.18 ",$0.00 ,3014310037
BERRY STREET-SOUTH 9TH STREET,BROOKLYN,BERRY STREET-SOUTH 9TH STREET,BLD 01,NONE,BLD 01,357,777,K035700,FEDERAL,NY005011310P,NEW YORK CITY WATER BOARD,6900892,6/1/2018 0:00,5/22/2018,6/20/2018,29,E15282911,N         ,6868.06,Basic Water and Sewer,Yes,696,"$6,868.06 ",$0.00 ,3021450018
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 17,AMR,STORE 01-02,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6902474,6/1/2018 0:00,5/22/2018,6/20/2018,29,E14262266,N         ,1805.83,Basic Water and Sewer,Yes,183,"$1,805.83 ",$0.00 ,1020120003
OCEAN HILL-BROWNSVILLE,BROOKLYN,OCEAN HILL-BROWNSVILLE,BLD 05,AMR,,313,287,K031300,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6901035,6/1/2018 0:00,5/22/2018,6/20/2018,29,E13304630,N         ,1499.92,Basic Water and Sewer,Yes,152,"$1,499.92 ",$0.00 ,3014390001
SAMUEL (MHOP) I,MANHATTAN,SAMUEL (MHOP) I,BLD 39,AMR,,389,847,M038900,MHOP,NY005013170P,NEW YORK CITY WATER BOARD,6901951,6/1/2018 0:00,5/22/2018,6/20/2018,29,O76882750,N         ,414.45,Basic Water and Sewer,Yes,42,$414.45 ,$0.00 ,1020090004
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 14,AMR,BLD 14,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6901796,6/1/2018 0:00,5/22/2018,6/20/2018,29,E20231894,N         ,138.15,Basic Water and Sewer,Yes,14,$138.15 ,$0.00 ,3013300008
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 31,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6902480,6/1/2018 0:00,5/21/2018,6/20/2018,30,I13017366,N         ,1795.96,Basic Water and Sewer,Yes,182,"$1,795.96 ",$0.00 ,1020110013
PARK ROCK REHAB,BROOKLYN,PARK ROCK REHAB,BLD 06,AMR,,351,765,K035100,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6900928,6/1/2018 0:00,5/22/2018,6/20/2018,29,O78779238,N         ,3532.71,Basic Water and Sewer,Yes,358,"$3,532.71 ",$0.00 ,3013730049
WILLIAMSBURG,BROOKLYN,WILLIAMSBURG,BLD 21 - Community Center,AMR,Community Center,2,200,K200200,FEDERAL,NY005000020P,NEW YORK CITY WATER BOARD,6902511,6/1/2018 0:00,5/22/2018,6/20/2018,29,E15220518,N         ,108.55,Basic Water and Sewer,Yes,11,$108.55 ,$0.00 ,3030250070
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 12,AMR,BLD 12,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6901784,6/1/2018 0:00,5/22/2018,6/20/2018,29,E20179084,N         ,78.94,Basic Water and Sewer,Yes,8,$78.94 ,$0.00 ,3048180025
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 44,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6902482,6/1/2018 0:00,5/22/2018,6/20/2018,29,O78610228,N         ,759.83,Basic Water and Sewer,Yes,77,$759.83 ,$0.00 ,1020070045
HOWARD AVENUE,BROOKLYN,HOWARD AVENUE,BLD 03,NONE,,339,782,K033900,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,6992011,6/1/2018 0:00,2/6/2018,6/22/2018,136,O78997367,Y         ,24432.92,Basic Water and Sewer,Yes,2476,"$24,432.92 ",$0.00 ,3035120021
BETANCES VI,BRONX,BETANCES VI,BLD 05 - Community Center,AMR,Community Center,285,545,B228500,FEDERAL,NY005012110P,NEW YORK CITY WATER BOARD,6900946,6/1/2018 0:00,5/22/2018,6/20/2018,29,K16057186,N         ,296.04,Basic Water and Sewer,Yes,30,$296.04 ,$0.00 ,2022720119
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 25,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6901007,6/1/2018 0:00,5/22/2018,6/20/2018,29,V31665696,N         ,3325.48,Basic Water and Sewer,Yes,337,"$3,325.48 ",$0.00 ,1020120020
POLO GROUNDS TOWERS,MANHATTAN,POLO GROUNDS TOWERS,BLD 08 - Community Center,AMR,Community Center,149,260,M214900,FEDERAL,NY005001490P,NEW YORK CITY WATER BOARD,6902506,6/1/2018 0:00,5/22/2018,6/20/2018,29,V84010435,N         ,256.57,Basic Water and Sewer,Yes,26,$256.57 ,$0.00 ,1021060003
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 05,AMR,BLD 05,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6901783,6/1/2018 0:00,5/22/2018,6/20/2018,29,E20333760,N         ,572.34,Basic Water and Sewer,Yes,58,$572.34 ,$0.00 ,3048180033
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 15,NONE,,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,6902239,6/1/2018 0:00,5/24/2018,6/22/2018,29,N28574008,N         ,2496.58,Basic Water and Sewer,Yes,253,"$2,496.58 ",$0.00 ,4101460051
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 02,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6901870,6/1/2018 0:00,5/24/2018,6/22/2018,29,V31633777,Y         ,1233.49,Basic Water and Sewer,Yes,125,"$1,233.49 ",$0.00 ,1020120008
BAISLEY PARK,QUEENS,BAISLEY PARK,BLD 02,AMR,BLD 02,91,240,Q009100,FEDERAL,NY005010910P,NEW YORK CITY WATER BOARD,6901086,6/1/2018 0:00,5/22/2018,6/20/2018,29,K12468789,N         ,7509.47,Basic Water and Sewer,Yes,761,"$7,509.47 ",$0.00 ,4123350044
QUEENSBRIDGE NORTH,QUEENS,QUEENSBRIDGE NORTH,BLD 11,AMR,,505,398,Q050500,FEDERAL,NY005005050P,NEW YORK CITY WATER BOARD,6902501,6/1/2018 0:00,5/22/2018,6/20/2018,29,E14032543,N         ,7420.66,Basic Water and Sewer,Yes,752,"$7,420.66 ",$0.00 ,4004700100
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 24,NONE,,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,6937418,6/1/2018 0:00,6/2/2018,6/30/2018,28,N30009896,Y         ,4983.29,Basic Water and Sewer,Yes,505,"$4,983.29 ",$0.00 ,4121480100
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 02,AMR,BLD 02,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6901782,6/1/2018 0:00,5/22/2018,6/20/2018,29,E21207684,N         ,266.43,Basic Water and Sewer,Yes,27,$266.43 ,$0.00 ,3048180135
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 29,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6901008,6/1/2018 0:00,5/22/2018,6/20/2018,29,E17794141,N         ,1065.73,Basic Water and Sewer,Yes,108,"$1,065.73 ",$0.00 ,1020110015
QUEENSBRIDGE SOUTH,QUEENS,QUEENSBRIDGE SOUTH,BLD 14&16,NONE,STORE 14-20,5,843,Q000500,FEDERAL,NY005000050P,NEW YORK CITY WATER BOARD,6902682,6/1/2018 0:00,5/24/2018,6/22/2018,29,K98782668,N         ,3443.9,Basic Water and Sewer,Yes,349,"$3,443.90 ",$0.00 ,4004650100
RALPH AVENUE REHAB,BROOKLYN,RALPH AVENUE REHAB,BLD 04,AMR,,352,771,K035200,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6901216,6/1/2018 0:00,5/22/2018,6/20/2018,29,O78610280,N         ,5081.97,Basic Water and Sewer,Yes,515,"$5,081.97 ",$0.00 ,3035080050
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 10,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6902611,6/1/2018 0:00,5/24/2018,6/20/2018,27,K15130328,N         ,1894.64,Basic Water and Sewer,Yes,192,"$1,894.64 ",$0.00 ,1020150005
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 10,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6902611,6/1/2018 0:00,5/22/2018,6/20/2018,29,I13007391,N         ,1420.98,Basic Water and Sewer,Yes,144,"$1,420.98 ",$0.00 ,1020150005
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 10,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,6902611,6/1/2018 0:00,5/22/2018,6/20/2018,29,E10052406,N         ,2595.26,Basic Water and Sewer,Yes,263,"$2,595.26 ",$0.00 ,1020150005
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 19,AMR,BLD 19,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,6911187,6/1/2018 0:00,5/24/2018,6/20/2018,27,E12292734,N         ,16489.26,Basic Water and Sewer,Yes,1671,"$16,489.26 ",$0.00 ,4101480001
RALPH AVENUE REHAB,BROOKLYN,RALPH AVENUE REHAB,BLD 03,AMR,,352,771,K035200,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6900927,6/1/2018 0:00,5/24/2018,6/20/2018,27,O78997357,N         ,3966.9,Basic Water and Sewer,Yes,402,"$3,966.90 ",$0.00 ,3035080046
STEBBINS AVENUE-HEWITT PLACE,BRONX,STEBBINS AVENUE-HEWITT PLACE,BLD 01,AMR,,353,770,B035300,FEDERAL,NY005013420P,NEW YORK CITY WATER BOARD,6901305,6/1/2018 0:00,5/22/2018,6/20/2018,29,E12261841,N         ,8496.26,Basic Water and Sewer,Yes,861,"$8,496.26 ",$0.00 ,2026960005
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 15,AMR,BLD 15,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,6901863,6/1/2018 0:00,5/22/2018,6/20/2018,29,E132272916,N         ,5269.46,Basic Water and Sewer,Yes,534,"$5,269.46 ",$0.00 ,4101270001
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 20,AMR,BLD 20,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,6902553,6/1/2018 0:00,5/22/2018,6/20/2018,29,K16792337,N         ,4706.99,Basic Water and Sewer,Yes,477,"$4,706.99 ",$0.00 ,4101480001
